Building Type,Slight_Median,Slight_Beta,Moderate_Median,Moderate_Beta,Extensive_Median,Extensive_Beta,Complete_Median,Complete_Beta
W1,0.26,0.64,0.55,0.64,1.28,0.64,2.01,0.64
W2,0.26,0.64,0.56,0.64,1.15,0.64,2.08,0.64
S1L,0.13,0.64,0.24,0.64,0.53,0.64,1.49,0.64
S1M,0.14,0.64,0.26,0.64,0.62,0.64,1.43,0.64
S1H,0.1,0.64,0.2,0.64,0.6,0.64,1.36,0.64
S2L,0.24,0.64,0.41,0.64,0.76,0.64,1.46,0.64
S2M,0.14,0.64,0.27,0.64,0.73,0.64,1.62,0.64
S2H,0.11,0.64,0.22,0.64,0.65,0.64,1.6,0.64
S3,0.15,0.64,0.26,0.64,0.64,0.64,1.3,0.64
S4L,0.24,0.64,0.39,0.64,0.71,0.64,1.33,0.64
S4M,0.16,0.64,0.28,0.64,0.73,0.64,1.56,0.64
S4H,0.13,0.64,0.25,0.64,0.69,0.64,1.63,0.64
S5L*,,,,,,,,
S5M*,,,,,,,,
S5H*,,,,,,,,
C1L,0.21,0.64,0.35,0.64,0.7,0.64,1.37,0.64
C1M,0.15,0.64,0.27,0.64,0.73,0.64,1.61,0.64
C1H,0.11,0.64,0.24,0.64,0.71,0.64,1.55,0.64
C2L,0.24,0.64,0.45,0.64,0.94,0.64,1.55,0.64
C2M,0.17,0.64,0.3,0.64,0.87,0.64,1.95,0.64
C2H,0.12,0.64,0.29,0.64,0.82,0.64,1.87,0.64
C3L*,,,,,,,,
C3M*,,,,,,,,
C3H*,,,,,,,,
PC1,0.2,0.64,0.35,0.64,0.72,0.64,1.25,0.64
PC2L,0.24,0.64,0.36,0.64,0.69,0.64,1.23,0.64
PC2M,0.17,0.64,0.33,0.64,0.65,0.64,1.51,0.64
PC2H,0.12,0.64,0.26,0.64,0.63,0.64,1.49,0.64
RMM1L,0.24,0.64,0.43,0.64,0.93,0.64,1.57,0.64
RM1M,0.2,0.64,0.37,0.64,0.84,0.64,1.55,0.64
RM2L,0.26,0.64,0.46,0.64,0.87,0.64,1.78,0.64
RM2M,0.17,0.64,0.33,0.64,0.75,0.64,1.63,0.64
RM2H,0.12,0.64,0.24,0.64,0.67,0.64,1.78,0.64
URML*,,,,,,,,
URMM*,,,,,,,,
MH,0.11,0.64,0.18,0.64,0.31,0.64,0.6,0.64
