Building Type,Slight_Median,Slight_Beta,Moderate_Median,Moderate_Beta,Extensive_Median,Extensive_Beta,Complete_Median,Complete_Beta
W1,0.24,0.64,0.43,0.64,0.91,0.64,1.34,0.64
W2,0.2,0.64,0.35,0.64,0.64,0.64,1.13,0.64
S1L,0.15,0.64,0.23,0.64,0.41,0.64,0.91,0.64
S1M,0.13,0.64,0.21,0.64,0.44,0.64,0.84,0.64
S1H,0.1,0.64,0.16,0.64,0.36,0.64,0.79,0.64
S2L,0.2,0.64,0.26,0.64,0.42,0.64,0.84,0.64
S2M,0.14,0.64,0.21,0.64,0.4,0.64,0.78,0.64
S2H,0.11,0.64,0.19,0.64,0.49,0.64,1.02,0.64
S3,0.1,0.64,0.19,0.64,0.33,0.64,0.7,0.64
S4L,0.19,0.64,0.26,0.64,0.41,0.64,0.78,0.64
S4M,0.14,0.64,0.22,0.64,0.51,0.64,0.92,0.64
S4H,0.12,0.64,0.21,0.64,0.51,0.64,0.97,0.64
S5L*,,,,,,,,
S5M*,,,,,,,,
S5H*,,,,,,,,
C1L,0.16,0.64,0.23,0.64,0.41,0.64,0.77,0.64
C1M,0.13,0.64,0.21,0.64,0.49,0.64,0.89,0.64
C1H,0.1,0.64,0.19,0.64,0.46,0.64,0.84,0.64
C2L,0.18,0.64,0.26,0.64,0.49,0.64,0.87,0.64
C2M,0.15,0.64,0.26,0.64,0.55,0.64,1.02,0.64
C2H,0.12,0.64,0.23,0.64,0.57,0.64,1.07,0.64
C3L*,,,,,,,,
C3M*,,,,,,,,
C3H*,,,,,,,,
PC1,0.18,0.64,0.24,0.64,0.44,0.64,0.71,0.64
PC2L,0.18,0.64,0.25,0.64,0.4,0.64,0.74,0.64
PC2M,0.15,0.64,0.24,0.64,0.46,0.64,0.85,0.64
PC2H,0.12,0.64,0.19,0.64,0.46,0.64,0.84,0.64
RMM1L,0.22,0.64,0.32,0.64,0.62,0.64,0.95,0.64
RM1M,0.2,0.64,0.3,0.64,0.51,0.64,1.03,0.64
RM2L,0.26,0.64,0.42,0.64,0.54,0.64,1.03,0.64
RM2M,0.16,0.64,0.28,0.64,0.48,0.64,0.99,0.64
RM2H,0.12,0.64,0.2,0.64,0.48,0.64,1.01,0.64
URML*,,,,,,,,
URMM*,,,,,,,,
MH,0.11,0.64,0.18,0.64,0.31,0.64,0.6,0.64
